"Data Source","World Development Indicators",

"Last Updated Date","2017-03-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Algeria","DZA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","81","61","66","73","98","106","120","123","125","146.3","155.6","159.6","156.4","185.4","352.5","390.9","468.2","587.1","819.2","930","1306.1","1445.8","1829.6","2237.1","2258.5","2620","3173.8","3652.5","","","",
"East Asia & Pacific (excluding high income)","EAP","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","2482.12058275892","3718.70973567227","3940.93142108795","5476.46324733863","6328.31304143206","7220.20277884363","7143.12588795621","7908.67524411851","8601.25981371229","8970.65749425929","10238.3983369331","11771.8218328319","13451.8522099435","15204.1704844335","17293.9821614678","51129.0901660485","63236.8578369397","65301.5853436686","75738.9960272186","112920.603534477","164211.092997954","191075.986588798","217913.52573238","254466.647402367","296575.548997592","327714.84049034","378490.252536612","401255.850011552","434281.550315963","","","",
"Early-demographic dividend","EAR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","21090.8114740447","23664.8083332233","22899.4457929769","22755.4431215435","24570.9245122308","24076.5457909463","24636.0676074465","25956.1623879639","26651.1656526471","27677.0959036691","28160.446857188","29235.3234912194","30197.3732674826","31372.1136576755","32564.0614397238","59732.9825775569","63881.8938318411","70617.041104616","78037.5237141542","88319.4346094456","100274.931001174","115358.700282781","128856.236508971","143677.563712752","163447.8","184183.8","214044.94863807","229687.874117388","241345.793105897","","","",
"East Asia & Pacific","EAS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","43295.8399546353","49198.3046777743","48874.2795895641","54593.7683025574","59126.1559278573","62787.5403343905","64222.367024691","71778.7556279293","73139.2414363633","79557.3808047866","82936.1214536973","90316.9986910338","95021.7832106713","101588.907299186","107312.890847419","193352.65506943","208760.332257233","214272.50722378","233181.120317551","290757.90700824","364855.147675598","403580.179577398","438142.207385928","481085.486939243","532233.282915254","572391.026162208","634627.178246442","661959.059463957","699399.933481766","","","",
"Europe & Central Asia (excluding high income)","ECA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4110.47019173903","28434.8791376324","30771.837702645","26993.874533237","27331.218354226","27103.6859049292","26250.6703478362","26709.2278438457","44817.420933911","47042.5","48606.1","48545.7","54459.1","61085.7","61790.1","68202.8","72617.8","79735.4","84908.8","89663.9","92266.9","97649.4","","","",
"Europe & Central Asia","ECS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","137656.40382461","151241.163285412","147355.919280576","155009.496358717","167283.112533975","171246.700481355","175101.627421722","190510.164425462","216059.035377987","231477.921698969","232228.764498553","240896.619001039","245769.310715025","251220.861588394","254310.919947273","397056.833835619","404472.73962739","416375.422732996","431104.117731779","473105.423642269","526020.118357949","550806.959230713","580862.870772636","604718.445671235","636697.713064408","652861.665265665","681610.863287927","708051.354021355","720931.815858018","","","",
"Ecuador","ECU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","10","13","13","17","20","29","18","13","27","34.3","32","44.2","31.2","23.7","70.3","59.4","86.7","96.1","92.5","126.3","122.7","138.5","150.4","182.9","191.6","168","250.4","256","","","",
"Egypt, Arab Rep.","EGY","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","1060","","","","926","1070","1037","1130","1278","1254","1429","1288","1279","1380","1387.8","1292.2","1266.1","1274.8","1293","2404.1","2722.2","2782.9","3044.7","3415.2","3477.7","3916.8","4466.9","4893.8","6138.1","6697.7","7708","8929.7","9199.2","","","",
"Euro area","EMU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","76895.2705737665","81727.7409434909","80662.2626342701","87906.5052049248","96266.7226871331","99079.3834370666","101917.292488167","112554.906735581","113480.565911888","123041","126877.4","133524.3","137999.5","143043.2","144280.3","223334.5","230391.7","237025.5","247118.8","271073.2","302713.6","318348.9","335091.6","349943.8","367791.3","374599.1","389644.5","405049.8","409134.6","","","",
"Eritrea","ERI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0.7","2.2","0.2","6.1","2.7","3.6","6.9","11.3","14.2","11.7","12.8","18.3","27.7","11.2","8.5","12.2","16.7","7.7","10.6","","","",
"Spain","ESP","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","2362","","","","4016","4871","4986","5432","6116","6837","7269","9267","9759","10534","11315.9","12495.1","13075.3","13719.5","14513.7","23410.1","24877.8","26374.9","27656.6","30934.5","35197","38778.5","41318.2","43309.2","46712.2","48291.9","51288.4","53644.8","53342.1","","","",
"Estonia","EST","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","2","177","202","215.1","270.4","229.8","304.9","340.6","442.3","485.7","488.9","532.1","603.7","707.8","843.6","998.8","1087.7","1119.2","1339.8","1365.6","1389.4","1425.8","","","",
